s0,s1,s2,s3,s4,s5,s6,action
0.9,2.16,1.02,1.0,0.97,0.0,0.0,1.0
0.98,2.16,0.95,0.92,0.88,0.0,0.0,1.0
1.08,2.1,0.86,0.82,0.78,0.0,0.0,1.0
1.17,2.01,0.77,0.73,0.7,0.0,0.0,1.0
1.26,1.92,0.69,0.65,0.61,0.0,0.0,1.0
1.35,1.86,0.59,0.56,0.51,0.0,0.0,1.0
1.43,1.77,0.5,0.46,0.42,0.0,0.0,1.0
1.51,1.68,0.41,0.37,0.33,0.0,0.0,1.0
1.59,1.59,0.32,0.28,0.24,0.0,0.0,1.0
1.68,1.51,0.23,0.19,0.14,0.0,0.0,1.0
1.77,1.43,0.14,0.09,0.05,0.0,0.0,1.0
1.86,1.35,0.05,0.0,0.0,0.0,0.0,1.0
1.95,1.28,0.0,0.0,0.0,0.0,0.0,1.0
2.01,1.17,0.0,0.0,0.0,0.0,0.0,1.0
2.1,1.08,0.0,0.0,0.0,0.0,0.0,1.0
2.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2.17,1.02,0.0,0.0,0.0,0.0,0.0,1.0
2.17,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.17,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,2.0
2.11,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.97,0.0,0.0,0.0,0.0,0.0,1.0
2.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.84,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.84,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.81,0.15,0.15,0.15,0.0,0.0,0.0
2.02,0.8,0.33,0.33,0.33,0.0,0.0,0.0
2.01,0.81,0.51,0.51,0.51,0.0,0.0,0.0
2.02,0.8,0.69,0.69,0.68,0.0,0.0,0.0
2.0,0.8,0.87,0.86,0.86,0.0,0.0,0.0
2.01,0.8,1.05,1.04,1.04,0.12,0.0,0.0
2.0,0.8,1.22,1.22,1.22,0.25,0.0,0.0
2.0,0.79,1.4,1.4,1.4,0.37,0.0,0.0
1.99,0.8,1.58,1.58,1.58,0.5,0.0,0.0
2.0,0.78,1.76,1.76,1.76,0.63,0.0,0.0
1.98,0.79,1.94,1.94,1.94,0.77,0.0,1.0
1.92,0.91,1.86,1.86,1.85,0.68,0.0,1.0
1.85,1.0,1.8,1.8,1.79,0.59,0.0,1.0
1.76,1.08,1.74,1.73,1.7,0.5,0.0,1.0
1.69,1.17,1.66,1.65,1.64,0.4,0.0,1.0
1.6,1.26,1.6,1.57,1.55,0.31,0.0,1.0
1.54,1.34,1.52,1.51,1.47,0.23,0.0,1.0
1.45,1.42,1.44,1.42,1.41,0.14,0.0,1.0
1.39,1.5,1.38,1.34,1.31,0.04,0.0,1.0
1.3,1.58,1.28,1.27,1.24,0.0,0.0,1.0
1.22,1.64,1.21,1.18,1.15,0.0,0.0,1.0
1.13,1.73,1.14,1.11,1.06,0.0,0.0,1.0
1.04,1.79,1.05,1.02,0.98,0.0,0.0,1.0
